b'id',b'key',b'value',b'type'
b'828390386',b'street',b'Edge Hill Place',b'addr'
b'828390386',b'housenumber',b'1609',b'addr'
b'828390754',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828390754',b'city',b'City of Ottawa',b'addr'
b'828390754',b'street',b'Crane Street',b'addr'
b'828390754',b'housenumber',b'2311',b'addr'
b'828391594',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828391594',b'city',b'City of Ottawa',b'addr'
b'828391594',b'street',b'Carling Avenue',b'addr'
b'828391594',b'housenumber',b'3093',b'addr'
b'828391908',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828391908',b'city',b'City of Ottawa',b'addr'
b'828391908',b'street',b'Woodland Avenue',b'addr'
b'828391908',b'housenumber',b'454',b'addr'
b'828392068',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828392068',b'city',b'City of Ottawa',b'addr'
b'828392068',b'street',b'Drury Lane',b'addr'
b'828392068',b'housenumber',b'2347',b'addr'
b'828392370',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828392370',b'city',b'City of Ottawa',b'addr'
b'828392370',b'street',b'Ritchie Street',b'addr'
b'828392370',b'housenumber',b'74',b'addr'
b'828392537',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828392537',b'city',b'City of Ottawa',b'addr'
b'828392537',b'street',b'Carnegie Street',b'addr'
b'828392537',b'housenumber',b'2132',b'addr'
b'828392694',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828392694',b'city',b'City of Ottawa',b'addr'
b'828392694',b'street',b'Alta Vista Drive',b'addr'
b'828392694',b'housenumber',b'1981',b'addr'
b'828393169',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828393169',b'city',b'City of Ottawa',b'addr'
b'828393169',b'street',b'Wentworth Avenue',b'addr'
b'828393169',b'housenumber',b'525',b'addr'
b'828393478',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828393478',b'city',b'City of Ottawa',b'addr'
b'828393478',b'street',b'Heatherington Road',b'addr'
b'828393478',b'housenumber',b'1700',b'addr'
b'828393625',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828393625',b'city',b'City of Ottawa',b'addr'
b'828393625',b'street',b'Grenon Avenue',b'addr'
b'828393625',b'housenumber',b'856',b'addr'
b'828393969',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828393969',b'city',b'City of Ottawa',b'addr'
b'828393969',b'street',b'Lenester Avenue',b'addr'
b'828393969',b'housenumber',b'1875',b'addr'
b'828394141',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828394141',b'city',b'City of Ottawa',b'addr'
b'828394141',b'street',b'Hillary Avenue',b'addr'
b'828394141',b'housenumber',b'2276',b'addr'
b'828394470',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828394470',b'city',b'City of Ottawa',b'addr'
b'828394470',b'street',b'Pullen Avenue',b'addr'
b'828394470',b'housenumber',b'1639',b'addr'
b'828394618',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828394618',b'city',b'City of Ottawa',b'addr'
b'828394618',b'street',b'Iris Street',b'addr'
b'828394618',b'housenumber',b'2510',b'addr'
b'828395577',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828395577',b'city',b'City of Ottawa',b'addr'
b'828395577',b'street',b'Midway Avenue',b'addr'
b'828395577',b'housenumber',b'2340',b'addr'
b'828395721',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828395721',b'city',b'City of Ottawa',b'addr'
b'828395721',b'street',b'Rideout Crescent',b'addr'
b'828395721',b'housenumber',b'1313',b'addr'
b'828395863',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828395863',b'city',b'City of Ottawa',b'addr'
b'828395863',b'street',b'Richmond Road',b'addr'
b'828395863',b'housenumber',b'3021',b'addr'
b'828396401',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828396401',b'city',b'City of Ottawa',b'addr'
b'828396401',b'street',b'Arch Street',b'addr'
b'828396401',b'housenumber',b'2191',b'addr'
b'828396556',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828396556',b'city',b'City of Ottawa',b'addr'
b'828396556',b'street',b'Gore Private',b'addr'
b'828396556',b'housenumber',b'18',b'addr'
b'828396873',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828396873',b'city',b'City of Ottawa',b'addr'
b'828396873',b'street',b'Regina Street',b'addr'
b'828396873',b'housenumber',b'2634',b'addr'
b'828397194',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828397194',b'city',b'City of Ottawa',b'addr'
b'828397194',b'street',b'Penny Drive',b'addr'
b'828397194',b'housenumber',b'2963',b'addr'
b'828397343',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828397343',b'city',b'City of Ottawa',b'addr'
b'828397343',b'street',b'Drury Lane',b'addr'
b'828397343',b'housenumber',b'2407',b'addr'
b'828397516',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828397516',b'city',b'City of Ottawa',b'addr'
b'828397516',b'street',b'Barwell Avenue',b'addr'
b'828397516',b'housenumber',b'977',b'addr'
b'828397672',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828397672',b'city',b'City of Ottawa',b'addr'
b'828397672',b'street',b'Pleasant Park Road',b'addr'
b'828397672',b'housenumber',b'806',b'addr'
b'828398640',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828398640',b'city',b'City of Ottawa',b'addr'
b'828398640',b'street',b'Pleasant Park Road',b'addr'
b'828398640',b'housenumber',b'734',b'addr'
b'828398955',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828398955',b'city',b'City of Ottawa',b'addr'
b'828398955',b'street',b'Alta Vista Drive',b'addr'
b'828398955',b'housenumber',b'1992',b'addr'
b'828399119',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828399119',b'city',b'City of Ottawa',b'addr'
b'828399119',b'street',b'Grosvenor Avenue',b'addr'
b'828399119',b'housenumber',b'93',b'addr'
b'828399276',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828399276',b'city',b'City of Ottawa',b'addr'
b'828399276',b'street',b'Ridgecrest Place',b'addr'
b'828399276',b'housenumber',b'2314',b'addr'
b'828399642',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828399642',b'city',b'City of Ottawa',b'addr'
b'828399642',b'street',b'Pleasant Park Road',b'addr'
b'828399642',b'housenumber',b'926',b'addr'
b'828400064',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828400064',b'city',b'City of Ottawa',b'addr'
b'828400064',b'street',b'Marshall Court',b'addr'
b'828400064',b'housenumber',b'370',b'addr'
b'828400405',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828400405',b'city',b'City of Ottawa',b'addr'
b'828400405',b'street',b'Iris Street',b'addr'
b'828400405',b'housenumber',b'2569',b'addr'
b'828400613',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828400613',b'street',b'Birchview Road',b'addr'
b'828400613',b'housenumber',b'22',b'addr'
b'828400774',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828400774',b'city',b'City of Ottawa',b'addr'
b'828400774',b'street',b'Mutchmor Road',b'addr'
b'828400774',b'housenumber',b'48',b'addr'
b'828400939',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828400939',b'city',b'City of Ottawa',b'addr'
b'828400939',b'street',b'Juno Avenue',b'addr'
b'828400939',b'housenumber',b'1899',b'addr'
b'828542495',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828542495',b'city',b'City of Ottawa',b'addr'
b'828542495',b'street',b'Ivy Crescent',b'addr'
b'828542495',b'housenumber',b'122',b'addr'
b'828545871',b'city',b'City of Ottawa',b'addr'
b'828545871',b'housenumber',b'129',b'addr'
b'828545871',b'street',b'St-Laurent Boulevard',b'addr'
b'828545871',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828547205',b'source',b'NRCan-CanVec-7.0',b'regular'
b'828547205',b'city',b'City of Ottawa',b'addr'
b'828547205',b'street',b'Bayview Road',b'addr'
b'828547205',b'housenumber',b'144',b'addr'
b'828548969',b'city',b'City of Ottawa',b'addr'
b'828548969',b'housenumber',b'413',b'addr'
b'828548969',b'street',b'St-Laurent Boulevard',b'addr'
b'828548969',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828549893',b'city',b'City of Ottawa',b'addr'
b'828549893',b'housenumber',b'412',b'addr'
b'828549893',b'street',b'St. Patrick Street',b'addr'
b'828549893',b'source',b'NRCan-CanVec-7.0',b'regular'
b'828552434',b'city',b'City of Ottawa',b'addr'
b'828552434',b'housenumber',b'410',b'addr'
b'828552434',b'street',b'Montr\xc3\xa9al Road',b'addr'
b'828552434',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828554026',b'source',b'NRCan-CanVec-7.0',b'regular'
b'828554026',b'city',b'City of Ottawa',b'addr'
b'828554026',b'street',b'Bay Street',b'addr'
b'828554026',b'housenumber',b'438',b'addr'
b'828555183',b'source',b'NRCan-CanVec-7.0',b'regular'
b'828555183',b'city',b'City of Ottawa',b'addr'
b'828555183',b'street',b'Catherine Street',b'addr'
b'828555183',b'housenumber',b'288',b'addr'
b'828556038',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828556038',b'city',b'City of Ottawa',b'addr'
b'828556038',b'street',b'Acacia Avenue',b'addr'
b'828556038',b'housenumber',b'211',b'addr'
b'828557937',b'city',b'City of Ottawa',b'addr'
b'828557937',b'housenumber',b'381',b'addr'
b'828557937',b'street',b'Montr\xc3\xa9al Road',b'addr'
b'828557937',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828559378',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828559378',b'city',b'City of Ottawa',b'addr'
b'828559378',b'street',b'Putman Avenue',b'addr'
b'828559378',b'housenumber',b'108',b'addr'
b'828560541',b'source',b'NRCan-CanVec-7.0',b'regular'
b'828560541',b'city',b'City of Ottawa',b'addr'
b'828560541',b'street',b'Cooper Street',b'addr'
b'828560541',b'housenumber',b'154',b'addr'
b'828561221',b'source',b'NRCan-CanVec-7.0',b'regular'
b'828561221',b'city',b'City of Ottawa',b'addr'
b'828561221',b'street',b'Somerset Street West',b'addr'
b'828561221',b'housenumber',b'676',b'addr'
b'828561487',b'source',b'NRCan-CanVec-7.0',b'regular'
b'828561487',b'city',b'City of Ottawa',b'addr'
b'828561487',b'street',b'Arlington Avenue',b'addr'
b'828561487',b'housenumber',b'244',b'addr'
b'828561949',b'city',b'City of Ottawa',b'addr'
b'828561949',b'housenumber',b'675',b'addr'
b'828561949',b'street',b'Montr\xc3\xa9al Road',b'addr'
b'828561949',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828562678',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828562678',b'city',b'City of Ottawa',b'addr'
b'828562678',b'street',b'The Rockery Private',b'addr'
b'828562678',b'housenumber',b'2',b'addr'
b'828562887',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828562887',b'city',b'City of Ottawa',b'addr'
b'828562887',b'street',b'Thorold Road',b'addr'
b'828562887',b'housenumber',b'280',b'addr'
b'828563473',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828563473',b'city',b'City of Ottawa',b'addr'
b'828563473',b'street',b'Booth Street',b'addr'
b'828563473',b'housenumber',b'2',b'addr'
b'828564376',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828564376',b'city',b'City of Ottawa',b'addr'
b'828564376',b'street',b'Lakeway Drive',b'addr'
b'828564376',b'housenumber',b'105',b'addr'
b'828564726',b'source',b'NRCan-CanVec-7.0;CanVec 6.0 - NRCan',b'regular'
b'828564726',b'city',b'City of Ottawa',b'addr'
b'828564726',b'street',b'Bank Street',b'addr'
b'828564726',b'housenumber',b'128',b'addr'
b'828565008',b'city',b'City of Ottawa',b'addr'
b'828565008',b'housenumber',b'1495',b'addr'
b'828565008',b'street',b'Sir-George-\xc3\x89tienne-Cartier Parkway',b'addr'
b'828565008',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828566390',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828566390',b'city',b'City of Ottawa',b'addr'
b'828566390',b'street',b'Marquette Avenue',b'addr'
b'828566390',b'housenumber',b'106',b'addr'
b'828567074',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828567074',b'city',b'City of Ottawa',b'addr'
b'828567074',b'street',b'Roxborough Avenue',b'addr'
b'828567074',b'housenumber',b'520',b'addr'
b'828567688',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828567688',b'city',b'City of Ottawa',b'addr'
b'828567688',b'street',b'Acacia Avenue',b'addr'
b'828567688',b'housenumber',b'42',b'addr'
b'828568787',b'city',b'City of Ottawa',b'addr'
b'828568787',b'housenumber',b'339',b'addr'
b'828568787',b'street',b'Montr\xc3\xa9al Road',b'addr'
b'828568787',b'source',b'NRCan-CanVec-7.0',b'regular'
b'828571472',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828571472',b'city',b'City of Ottawa',b'addr'
b'828571472',b'street',b'River Lane',b'addr'
b'828571472',b'housenumber',b'131',b'addr'
b'828573931',b'city',b'City of Ottawa',b'addr'
b'828573931',b'housenumber',b'42',b'addr'
b'828573931',b'street',b'Sir-George-\xc3\x89tienne-Cartier Parkway',b'addr'
b'828573931',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828575894',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828575894',b'city',b'City of Ottawa',b'addr'
b'828575894',b'street',b'Park Street',b'addr'
b'828575894',b'housenumber',b'245',b'addr'
b'828577876',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828577876',b'city',b'City of Ottawa',b'addr'
b'828577876',b'street',b'Acacia Avenue',b'addr'
b'828577876',b'housenumber',b'14',b'addr'
b'828578930',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828578930',b'city',b'City of Ottawa',b'addr'
b'828578930',b'street',b'Lebrun Street',b'addr'
b'828578930',b'housenumber',b'161',b'addr'
b'828579484',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828579484',b'city',b'City of Ottawa',b'addr'
b'828579484',b'street',b'Bedford Crescent',b'addr'
b'828579484',b'housenumber',b'31',b'addr'
b'828580451',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828580451',b'city',b'City of Ottawa',b'addr'
b'828580451',b'street',b'Keefer Street',b'addr'
b'828580451',b'housenumber',b'18',b'addr'
b'828582013',b'source',b'NRCan-CanVec-7.0',b'regular'
b'828582013',b'city',b'City of Ottawa',b'addr'
b'828582013',b'street',b'Ethel Street',b'addr'
b'828582013',b'housenumber',b'147',b'addr'
b'828582428',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828582428',b'city',b'City of Ottawa',b'addr'
b'828582428',b'street',b'Des Peres Blancs Avenue',b'addr'
b'828582428',b'housenumber',b'191',b'addr'
b'828584964',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828584964',b'city',b'City of Ottawa',b'addr'
b'828584964',b'street',b'Cantin Street',b'addr'
b'828584964',b'housenumber',b'230',b'addr'
b'828585870',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828585870',b'city',b'City of Ottawa',b'addr'
b'828585870',b'street',b'Springfield Road',b'addr'
b'828585870',b'housenumber',b'380',b'addr'
b'828586301',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828586301',b'city',b'City of Ottawa',b'addr'
b'828586301',b'street',b'Acacia Avenue',b'addr'
b'828586301',b'housenumber',b'585',b'addr'
b'828670002',b'source',b'NRCan-CanVec-7.0',b'regular'
b'828670002',b'city',b'Ottawa',b'addr'
b'828670002',b'street',b'Churchill Avenue North',b'addr'
b'828670002',b'housenumber',b'540',b'addr'
b'828670432',b'source',b'NRCan-CanVec-7.0',b'regular'
