b'id',b'key',b'value',b'type'
b'35055976',b'rbuid',b'900989; 900979',b'statscan'
b'35055976',b'acquisitionTechnique',b'GPS',b'geobase'
b'35056552',b'name',b'Louise Street',b'regular'
b'35056552',b'is_in',"b'Ontario,Canada'",b'regular'
b'35056552',b'lanes',b'2',b'regular'
b'35056552',b'source',b'Geobase_Import_2009',b'regular'
b'35056552',b'highway',b'residential',b'regular'
b'35056552',b'fr',b'rue Louise',b'name'
b'35056552',b'surface',b'paved',b'regular'
b'35056552',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'35056552',b'uuid',b'5e7dc2a29c68484a9003eba7b62e6f88',b'geobase'
b'35056552',b'rbuid',b'2787995',b'statscan'
b'35056552',b'datasetName',b'NRN:Ontario',b'geobase'
b'35056552',b'acquisitionTechnique',b'GPS',b'geobase'
b'35057140',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'35057140',b'bridge',b'yes',b'regular'
b'35057140',b'acquisitionTechnique',b'Vector Data',b'geobase'
b'35057140',b'highway',b'residential',b'regular'
b'35057140',b'lanes',b'2',b'regular'
b'35057140',b'layer',b'1',b'regular'
b'35057140',b'name',b'Pana Road',b'regular'
b'35057140',b'fr',b'chemin Pana',b'name'
b'35057140',b'source',b'Geobase_Import_2009',b'regular'
b'35057140',b'rbuid',b'786488',b'statscan'
b'35057852',b'name',b'Development Road',b'regular'
b'35057852',b'is_in',"b'Ontario,Canada'",b'regular'
b'35057852',b'lanes',b'2',b'regular'
b'35057852',b'source',b'Geobase_Import_2009',b'regular'
b'35057852',b'highway',b'residential',b'regular'
b'35057852',b'fr',b'chemin Development',b'name'
b'35057852',b'surface',b'unpaved',b'regular'
b'35057852',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'35057852',b'acquisitionTechnique',b'GPS',b'geobase'
b'35058419',b'name',b'Seguinbourg Street',b'regular'
b'35058419',b'is_in',"b'Ontario,Canada'",b'regular'
b'35058419',b'lanes',b'2',b'regular'
b'35058419',b'source',b'Geobase_Import_2009',b'regular'
b'35058419',b'highway',b'residential',b'regular'
b'35058419',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'35058419',b'rbuid',b'2789067',b'statscan'
b'35058419',b'acquisitionTechnique',b'GPS',b'geobase'
b'35059061',b'is_in',"b'Ontario,Canada'",b'regular'
b'35059061',b'lanes',b'2',b'regular'
b'35059061',b'source',b'Geobase_Import_2009',b'regular'
b'35059061',b'highway',b'residential',b'regular'
b'35059061',b'surface',b'unpaved',b'regular'
b'35059061',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'35059061',b'uuid',b'60db759d9ce444e3a93b0a2b83060314',b'geobase'
b'35059061',b'datasetName',b'NRN:Ontario',b'geobase'
b'35059061',b'acquisitionTechnique',b'GPS',b'geobase'
b'35059642',b'name',b'Fred Street',b'regular'
b'35059642',b'is_in',"b'Ontario,Canada'",b'regular'
b'35059642',b'lanes',b'2',b'regular'
b'35059642',b'source',b'Geobase_Import_2009',b'regular'
b'35059642',b'highway',b'residential',b'regular'
b'35059642',b'fr',b'rue Fred',b'name'
b'35059642',b'surface',b'paved',b'regular'
b'35059642',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'35059642',b'uuid',b'503468a2e50a417e9dba126e0cdd6c02',b'geobase'
b'35059642',b'rbuid',b'4014888',b'statscan'
b'35059642',b'datasetName',b'NRN:Ontario',b'geobase'
b'35059642',b'acquisitionTechnique',b'GPS',b'geobase'
b'35060194',b'name',b'Wintonia Drive',b'regular'
b'35060194',b'is_in',"b'Ontario,Canada'",b'regular'
b'35060194',b'lanes',b'2',b'regular'
b'35060194',b'source',b'Geobase_Import_2009',b'regular'
b'35060194',b'highway',b'residential',b'regular'
b'35060194',b'fr',b'promenade Wintonia',b'name'
b'35060194',b'surface',b'paved',b'regular'
b'35060194',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'35060194',b'uuid',b'de88498fb8614277a6fab51bf76e4f75',b'geobase'
b'35060194',b'rbuid',b'4067845',b'statscan'
b'35060194',b'datasetName',b'NRN:Ontario',b'geobase'
b'35060194',b'acquisitionTechnique',b'Vector Data',b'geobase'
b'35060830',b'name',b'Pepperville Road',b'regular'
b'35060830',b'is_in',"b'Ontario,Canada'",b'regular'
b'35060830',b'lanes',b'2',b'regular'
b'35060830',b'source',b'Geobase_Import_2009',b'regular'
b'35060830',b'highway',b'residential',b'regular'
b'35060830',b'fr',b'chemin Pepperville',b'name'
b'35060830',b'surface',b'unpaved',b'regular'
b'35060830',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'35060830',b'uuid',b'eb57250b74ca4f959f1be811edfe3478',b'geobase'
b'35060830',b'rbuid',b'2788130',b'statscan'
b'35060830',b'datasetName',b'NRN:Ontario',b'geobase'
b'35060830',b'acquisitionTechnique',b'GPS',b'geobase'
b'35193212',b'foot',b'yes',b'regular'
b'35193212',b'source',b'yahoo',b'regular'
b'35193212',b'bicycle',b'yes',b'regular'
b'35193212',b'highway',b'path',b'regular'
b'36848205',b'name',b'Richelieu Street',b'regular'
b'36848205',b'is_in',"b'Ontario,Canada'",b'regular'
b'36848205',b'lanes',b'2',b'regular'
b'36848205',b'source',b'Geobase_Import_2009',b'regular'
b'36848205',b'highway',b'residential',b'regular'
b'36848205',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'36848205',b'uuid',b'04c0adf3bcc64402963b9abb2ef1a229',b'geobase'
b'36848205',b'rbuid',b'3308167',b'statscan'
b'36848205',b'datasetName',b'NRN:Ontario',b'geobase'
b'36848205',b'acquisitionTechnique',b'Vector Data',b'geobase'
b'36848609',b'name',b'Pago Road',b'regular'
b'36848609',b'is_in',"b'Ontario,Canada'",b'regular'
b'36848609',b'lanes',b'2',b'regular'
b'36848609',b'source',b'Geobase_Import_2009',b'regular'
b'36848609',b'highway',b'residential',b'regular'
b'36848609',b'surface',b'unpaved',b'regular'
b'36848609',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'36848609',b'uuid',b'023e627854e745faace05a4d02a3b7cf',b'geobase'
b'36848609',b'rbuid',b'3308072',b'statscan'
b'36848609',b'datasetName',b'NRN:Ontario',b'geobase'
b'36848609',b'acquisitionTechnique',b'GPS',b'geobase'
b'36849051',b'name',b'Henrie Road',b'regular'
b'36849051',b'is_in',"b'Ontario,Canada'",b'regular'
b'36849051',b'lanes',b'2',b'regular'
b'36849051',b'source',b'Geobase_Import_2009',b'regular'
b'36849051',b'highway',b'residential',b'regular'
b'36849051',b'surface',b'unpaved',b'regular'
b'36849051',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'36849051',b'uuid',b'326a4d4851d8412e861d9aea7bf9c641',b'geobase'
b'36849051',b'rbuid',b'900794',b'statscan'
b'36849051',b'datasetName',b'NRN:Ontario',b'geobase'
b'36849051',b'acquisitionTechnique',b'GPS',b'geobase'
b'36849621',b'name',b'Martin Street',b'regular'
b'36849621',b'is_in',"b'Ontario,Canada'",b'regular'
b'36849621',b'lanes',b'2',b'regular'
b'36849621',b'source',b'Geobase_Import_2009',b'regular'
b'36849621',b'highway',b'residential',b'regular'
b'36849621',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'36849621',b'rbuid',b'900711',b'statscan'
b'36849621',b'acquisitionTechnique',b'GPS',b'geobase'
b'36850022',b'name',b'Edwards Street',b'regular'
b'36850022',b'is_in',"b'Ontario,Canada'",b'regular'
b'36850022',b'lanes',b'2',b'regular'
b'36850022',b'source',b'Geobase_Import_2009',b'regular'
b'36850022',b'highway',b'residential',b'regular'
b'36850022',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'36850022',b'uuid',b'71f235bacfee4446961c2cb271be18f3',b'geobase'
b'36850022',b'rbuid',b'625150',b'statscan'
b'36850022',b'datasetName',b'NRN:Ontario',b'geobase'
b'36850022',b'acquisitionTechnique',b'Vector Data',b'geobase'
b'36850636',b'name',b'Laporte Street',b'regular'
b'36850636',b'is_in',"b'Ontario,Canada'",b'regular'
b'36850636',b'lanes',b'2',b'regular'
b'36850636',b'source',b'Geobase_Import_2009',b'regular'
b'36850636',b'highway',b'residential',b'regular'
